symbol;full_name
BTC-USD;Bitcoin USD
ETH-USD;Ethereum USD
BNB-USD;BinanceCoin USD
USDT-USD;Tether USD
ADA-USD;Cardano USD
DOT1-USD;Polkadot USD
DOT2-USD;
XRP-USD;XRP USD
LTC-USD;Litecoin USD
THETA-USD;THETA USD
LINK-USD;Chainlink USD
USDC-USD;USDCoin USD
BCH-USD;BitcoinCash USD
XLM-USD;Stellar USD
LUNA1-USD;Terra USD
DOGE-USD;Dogecoin USD
VET-USD;VeChain USD
SOL1-USD;Solana USD
TRX-USD;TRON USD
KSM-USD;Kusama USD
MIOTA-USD;IOTA USD
XMR-USD;Monero USD
ATOM1-USD;Cosmos USD
EOS-USD;EOS USD
BSV-USD;BitcoinSV USD
AVAX-USD;Avalanche USD
ATOM2-USD;
SOL2-USD;
CTC1-USD;Creditcoin USD
XTZ-USD;Tezos USD
XEM-USD;NEM USD
ALGO-USD;Algorand USD
NEO-USD;NEO USD
HBAR-USD;HederaHashgraph USD
LUNA2-USD;
EGLD-USD;Elrond USD
DCR-USD;Decred USD
DASH-USD;Dash USD
TFUEL-USD;ThetaFuel USD
ZIL-USD;Zilliqa USD
CTC2-USD;
CTC3-USD;
ONE2-USD;Harmony USD
BAT-USD;BasicAttentionToken USD
ZEC-USD;Zcash USD
RVN-USD;Ravencoin USD
CCXX-USD;CounosX USD
ICX-USD;ICON USD
ETC-USD;EthereumClassic USD
STX1-USD;Stacks USD
DFI-USD;DeFiChain USD
WAVES-USD;Waves USD
ZRX-USD;0x USD
ONT-USD;Ontology USD
BNT-USD;Bancor USD
SC-USD;Siacoin USD
CEL-USD;Celsius USD
VGX-USD;VoyagerToken USD
DGB-USD;DigiByte USD
XWC-USD;WhiteCoin USD
OMG-USD;OmiseGO USD
AR-USD;Arweave USD
QTUM-USD;Qtum USD
IOST-USD;IOST USD
LSK-USD;Lisk USD
CELO-USD;Celo USD
HNT1-USD;Helium USD
CKB-USD;NervosNetwork USD
STX2-USD;
STORJ-USD;Storj USD
GLM-USD;Golem USD
XVG-USD;Verge USD
BTG-USD;BitcoinGold USD
LRC-USD;Loopring USD
NANO-USD;Nano USD
ETN-USD;Electroneum USD
ZEN-USD;Horizen USD
KNC-USD;KyberNetwork USD
EWT-USD;EnergyWebToken USD
REP-USD;Augur USD
SNT-USD;Status USD
WAXP-USD;WAX USD
ANT-USD;Aragon USD
MTL-USD;Metal USD
IOTX-USD;IoTeX USD
XDC-USD;XinFinNetwork USD
FUN-USD;FunFair USD
STEEM-USD;Steem USD
ARDR-USD;Ardor USD
ARK-USD;Ark USD
KIN-USD;Kin USD
KMD-USD;Komodo USD
CVC-USD;Civic USD
WAN-USD;Wanchain USD
COTI-USD;COTI USD
MAID-USD;MaidSafeCoin USD
META-USD;Metadium USD
HIVE-USD;Hive USD
VLX-USD;Velas USD
SRM-USD;
MED-USD;MediBlocQRC20 USD
HNT2-USD;
ONE3-USD;
BTS-USD;BitShares USD
STRAX-USD;Stratis USD
SYS-USD;Syscoin USD
ONE1-USD;
XHV-USD;HavenProtocol USD
GNO-USD;Gnosis USD
IRIS-USD;IRISnet USD
BCD-USD;BitcoinDiamond USD
TOMO-USD;TomoChain USD
RLC-USD;iExecRLC USD
BTM-USD;Bytom USD
TT-USD;ThunderToken USD
RDD-USD;ReddCoin USD
MLN-USD;Melon USD
DNT-USD;district0x USD
MWC-USD;MimbleWimbleCoin USD
NRG-USD;Energi USD
HNC-USD;Helleniccoin USD
HNS-USD;Handshake USD
PHA-USD;PhalaNetwork USD
ADX-USD;AdEx USD
AION-USD;Aion USD
PPT-USD;Populous USD
PAC-USD;PACGlobal USD
NYE-USD;NewYorkExchange USD
GAS-USD;Gas USD
DIVI-USD;Divi USD
ABBC-USD;ABBCCoin USD
SAPP-USD;Sapphire USD
WTC-USD;Waltonchain USD
MONA-USD;MonaCoin USD
WOZX-USD;EFFORCE USD
ELA-USD;Elastos USD
GRN-USD;GreenPower USD
CRU-USD;Crust USD
BCN-USD;Bytecoin USD
PCX-USD;ChainX USD
BEAM-USD;Beam USD
ATRI-USD;AtariToken USD
VRA-USD;Verasity USD
DAG-USD;Constellation USD
LBC-USD;LBRYCredits USD
ZNN-USD;Zenon USD
MASS-USD;Massnet USD
MARO-USD;Maro USD
NKN-USD;NKN USD
NULS-USD;NULS USD
XNC-USD;XeniosCoin USD
VSYS-USD;VSystems USD
FIRO-USD;Firo USD
REV-USD;RChain USD
MTC3-USD;
NXS-USD;Nexus USD
PIVX-USD;PIVX USD
GRS-USD;Groestlcoin USD
JUL-USD;Joule USD
EMC2-USD;Einsteinium USD
GO-USD;GoChain USD
AXEL-USD;AXEL USD
NIM-USD;Nimiq USD
KDA-USD;Kadena USD
FIO-USD;FIOProtocol USD
FSN-USD;Fusion USD
WICC-USD;WaykiChain USD
APL-USD;ApolloCurrency USD
CNX-USD;Cryptonex USD
CTXC-USD;Cortex USD
BDX-USD;Beldex USD
GNT-USD;Golem USD
VITE-USD;VITE USD
